Table 33: Expected Change in Prices During the Next 5 Years
Month,Year,Down,Same,Up by 1-2%,Up by 3-4%,Up by 5%,Up by 6-9%,Up by 10-14%,Up by 15%+,Up; DK how much,DK; NA,Mean,Variance,Standard deviation,25th Percentile,Median,75th Percentile,Interquartile Range (75th-25th),
12,1987,4,4,20,21,18,8,13,5,3,4,5.3,56,7.5,2.1,4.1,6.4,4.3,
1,1988,,,,,,,,,,,,,,,,,,
2,1988,,,,,,,,,,,,,,,,,,
3,1988,,,,,,,,,,,,,,,,,,
4,1988,,,,,,,,,,,,,,,,,,
5,1988,,,,,,,,,,,,,,,,,,
6,1988,,,,,,,,,,,,,,,,,,
7,1988,,,,,,,,,,,,,,,,,,
8,1988,,,,,,,,,,,,,,,,,,
9,1988,,,,,,,,,,,,,,,,,,
10,1988,,,,,,,,,,,,,,,,,,
11,1988,,,,,,,,,,,,,,,,,,
12,1988,,,,,,,,,,,,,,,,,,
1,1989,,,,,,,,,,,,,,,,,,
2,1989,,,,,,,,,,,,,,,,,,
3,1989,,,,,,,,,,,,,,,,,,
4,1989,,,,,,,,,,,,,,,,,,
5,1989,,,,,,,,,,,,,,,,,,
6,1989,,,,,,,,,,,,,,,,,,
7,1989,,,,,,,,,,,,,,,,,,
8,1989,,,,,,,,,,,,,,,,,,
9,1989,,,,,,,,,,,,,,,,,,
10,1989,,,,,,,,,,,,,,,,,,
11,1989,,,,,,,,,,,,,,,,,,
12,1989,,,,,,,,,,,,,,,,,,
1,1990,,,,,,,,,,,,,,,,,,
2,1990,,,,,,,,,,,,,,,,,,
3,1990,,,,,,,,,,,,,,,,,,
4,1990,2,2,21,24,20,10,8,5,6,2,5,34,5.8,2.3,4,5.5,3.2,
5,1990,6,2,19,19,22,11,6,5,7,3,5.2,58,7.6,2,4.3,5.5,3.4,
6,1990,4,1,17,21,27,9,10,5,5,1,5.5,43,6.5,2.6,4.6,5.6,3,
7,1990,4,2,20,22,22,9,9,4,5,3,4.9,32,5.6,2.3,4.2,5.5,3.2,
8,1990,3,1,19,24,19,13,10,6,3,2,5.8,43,6.6,2.6,4.6,6.6,4,
9,1990,3,1,18,19,22,11,12,5,6,3,5.6,43,6.6,2.5,4.7,6.8,4.3,
10,1990,4,4,14,21,23,10,9,7,7,1,5.9,60,7.8,2.6,4.6,6.7,4.1,
11,1990,4,2,17,22,20,13,10,6,4,2,5.7,53,7.3,2.5,4.6,6.8,4.3,
12,1990,4,2,19,21,19,10,10,7,5,3,5.8,55,7.4,2.3,4.5,6.8,4.5,
1,1991,3,4,15,22,22,10,10,5,6,3,5.6,45,6.7,2.6,4.6,6.5,3.9,
2,1991,4,4,14,23,22,8,10,7,6,2,6,62,7.9,2.6,4.6,6.6,4,
3,1991,3,2,17,23,21,11,8,8,4,3,6.2,63,8,2.6,4.6,6.8,4.2,
4,1991,5,5,16,24,21,9,10,5,3,2,5.1,37,6.1,2.3,4.2,6,3.6,
5,1991,4,4,20,20,20,11,12,4,3,2,5.4,51,7.1,2.1,4.4,6.6,4.5,
6,1991,2,3,20,21,22,10,8,6,5,3,5.8,61,7.8,2.3,4.5,6,3.7,
7,1991,4,3,20,22,21,9,8,7,3,3,5.4,52,7.2,2.2,4.2,5.8,3.6,
8,1991,3,3,21,22,25,6,8,5,6,1,5.4,64,8,2.1,4,5.3,3.2,
9,1991,6,3,18,24,26,6,6,4,3,4,4.5,43,6.5,2.1,3.9,5.2,3.1,
10,1991,4,5,19,23,19,9,8,5,5,3,5.1,49,7,2,3.7,5.4,3.4,
11,1991,4,5,20,22,18,7,9,7,5,3,5.3,42,6.5,2.1,3.8,5.8,3.7,
12,1991,4,3,19,26,24,6,8,4,4,2,4.7,38,6.2,2.2,3.8,5.2,3.1,
1,1992,6,4,17,26,17,7,7,7,6,3,5.3,54,7.4,2.2,3.6,5.5,3.3,
2,1992,5,5,18,27,19,8,7,5,4,2,4.5,29,5.4,2.1,3.4,5.3,3.2,
3,1992,5,5,17,27,19,7,10,3,4,3,4.5,28,5.3,2.2,3.6,5.3,3.2,
4,1992,4,3,20,21,21,8,8,4,9,2,4.8,39,6.2,2.1,3.9,5.4,3.3,
5,1992,1,3,20,24,20,7,9,6,7,3,5.4,40,6.3,2.4,4,5.5,3.1,
6,1992,5,2,20,26,17,8,9,4,6,3,4.6,36,6,2,3.4,5.4,3.4,
7,1992,5,5,21,21,20,7,9,5,4,3,4.6,39,6.2,1.7,3.7,5.4,3.6,
8,1992,4,3,21,20,24,8,8,4,7,1,5,38,6.2,2.1,4.2,5.4,3.3,
9,1992,5,4,18,28,17,7,9,6,4,2,5,38,6.2,2.2,3.5,5.5,3.3,
10,1992,5,3,19,24,19,5,9,5,5,6,5.1,46,6.8,2.1,3.7,5.3,3.2,
11,1992,5,2,22,22,18,7,8,7,7,2,5.4,61,7.8,2.1,3.7,5.5,3.4,
12,1992,4,4,20,27,17,8,6,5,7,2,5.2,66,8.1,2,3.4,5.3,3.3,
1,1993,6,4,21,24,18,8,7,5,4,3,4.8,44,6.7,1.8,3.4,5.3,3.5,
2,1993,5,4,15,24,20,9,6,7,6,4,5.9,72,8.5,2.4,4.1,5.7,3.3,
3,1993,4,3,20,27,20,10,5,5,5,1,4.9,37,6.1,2.2,3.6,5.4,3.2,
4,1993,6,3,18,25,20,6,6,4,8,4,4.7,45,6.7,2.1,3.5,5.2,3.1,
5,1993,4,2,23,25,16,6,9,7,5,3,5.6,66,8.1,1.9,3.5,5.5,3.5,
6,1993,4,3,20,26,18,8,8,6,5,2,5.2,39,6.2,2.2,3.8,5.5,3.3,
7,1993,5,2,20,26,18,7,7,6,5,4,5,45,6.7,2,3.5,5.3,3.3,
8,1993,3,4,20,26,17,6,8,4,7,5,4.6,31,5.5,1.9,3.3,5.3,3.3,
9,1993,5,2,26,24,16,7,8,4,5,3,4.5,35,5.9,1.8,3.3,5.3,3.5,
10,1993,4,2,18,27,18,10,8,4,6,3,4.7,30,5.5,2.3,3.5,5.4,3.1,
11,1993,5,3,20,27,20,6,7,3,7,2,4.4,35,5.9,2.1,3.4,5.2,3.1,
12,1993,5,2,18,28,19,7,6,5,8,2,4.8,41,6.4,2.3,3.6,5.3,3,
1,1994,5,3,22,28,18,6,3,6,6,3,4.8,49,7,2,3.2,5.1,3.2,
2,1994,3,2,21,31,18,5,6,4,7,3,4.6,39,6.3,2.2,3.3,5.1,2.9,
3,1994,3,2,21,28,19,7,5,6,7,2,5.3,62,7.9,2.2,3.4,5.3,3,
4,1994,3,2,25,31,15,6,7,5,4,2,5,49,7,2,3.2,5.1,3.1,
5,1994,5,3,21,26,20,6,7,3,5,4,4.5,44,6.6,2,3.4,5.2,3.2,
6,1994,3,4,21,24,19,6,8,5,5,5,4.8,36,6,2,3.4,5.3,3.2,
7,1994,3,3,22,29,16,6,7,4,7,3,4.6,42,6.5,1.9,3.2,5.2,3.2,
8,1994,2,2,21,27,19,6,9,5,7,2,5.4,54,7.3,2.3,3.5,5.4,3,
9,1994,2,2,24,32,14,6,8,4,4,4,4.8,50,7,2,3.2,5.1,3.1,
10,1994,3,2,24,28,21,3,6,5,6,2,4.6,32,5.7,2,3.3,5.1,3,
11,1994,3,4,23,27,16,7,4,4,9,3,4.1,21,4.6,1.8,3.2,5.1,3.2,
12,1994,3,4,24,29,19,6,5,2,6,2,4.2,31,5.6,1.8,3.2,5,3.2,
1,1995,3,3,25,30,16,6,6,2,7,2,3.9,16,4,1.8,3.2,5,3.2,
2,1995,3,3,24,31,15,5,7,2,8,2,4,24,4.9,2,3.2,5,3,
3,1995,4,2,22,31,18,4,5,3,9,2,4.3,35,5.9,2.1,3.3,5,2.9,
4,1995,3,1,26,24,22,6,8,2,7,1,4.4,22,4.7,2,3.5,5.2,3.2,
5,1995,2,2,25,30,18,5,7,2,7,2,4.1,21,4.6,2,3.2,5,3,
6,1995,2,3,24,30,17,3,6,4,9,2,4.4,24,4.9,2.1,3.1,5,2.9,
7,1995,2,2,24,31,18,4,7,3,8,1,4.3,29,5.4,2,3.2,5,3,
8,1995,4,4,25,31,16,4,5,3,6,2,4.1,30,5.5,1.7,3.1,4.9,3.1,
9,1995,2,3,25,32,17,3,4,5,8,1,4.4,36,6,1.9,3.1,4.8,2.9,
10,1995,3,1,24,32,20,3,5,1,7,4,3.7,12,3.4,2,3.2,4.9,2.8,
11,1995,3,1,28,25,19,6,3,3,9,3,3.9,17,4.2,1.9,3.1,5,3.1,
12,1995,3,2,28,29,17,5,5,2,7,2,3.9,15,3.8,1.9,3.1,4.9,3,
1,1996,5,2,24,31,15,5,6,3,7,2,4.2,29,5.4,2,3.2,4.9,2.9,
2,1996,3,3,21,32,18,2,6,3,10,2,4.2,23,4.8,2.2,3.3,4.9,2.7,
3,1996,4,2,23,29,18,6,5,4,7,2,4.3,26,5.1,2,3.2,5.1,3.1,
4,1996,2,2,28,31,16,4,5,3,7,2,4.1,31,5.6,1.8,3,4.8,3,
5,1996,2,2,25,27,21,3,6,5,8,1,4.8,39,6.3,2,3.3,5.1,3.1,
6,1996,2,3,28,29,17,4,5,3,7,2,4,22,4.7,1.8,3.1,4.9,3.1,
7,1996,3,2,24,31,17,4,6,4,5,4,4.3,21,4.6,2,3.2,5,3,
8,1996,2,2,23,31,19,4,5,5,5,4,4.6,33,5.7,2.2,3.3,5,2.8,
9,1996,3,2,25,31,19,5,6,2,6,1,4.1,25,5,2,3.2,5,2.9,
10,1996,3,2,28,30,16,5,3,3,9,1,4.1,36,6,1.8,3,4.8,3,
11,1996,3,2,28,29,18,3,6,2,8,1,3.7,18,4.2,1.8,3,4.8,3.1,
12,1996,3,1,31,27,18,4,3,2,8,3,3.9,27,5.2,1.7,3,4.8,3.1,
1,1997,1,0,28,32,17,3,6,2,9,2,4,13,3.6,2,3.2,4.8,2.9,
2,1997,3,3,25,31,18,4,4,2,8,2,3.7,13,3.6,2,3.1,4.8,2.9,
3,1997,3,2,26,32,16,5,4,1,10,1,3.6,12,3.5,1.9,3,4.7,2.8,
4,1997,3,1,31,30,16,3,5,2,8,1,3.6,16,4,1.7,2.9,4.7,3,
5,1997,2,2,30,30,16,6,4,3,5,2,3.8,18,4.2,1.8,3,4.8,3.1,
6,1997,2,2,28,29,17,5,5,2,8,2,3.9,16,4,1.8,3.1,4.9,3.1,
7,1997,2,4,29,26,20,1,3,2,9,4,3.4,11,3.4,1.7,2.9,4.7,3.1,
8,1997,2,3,29,26,15,3,6,3,11,2,3.8,14,3.8,1.7,3,4.8,3.2,
9,1997,3,2,24,30,17,6,4,2,11,1,3.6,9,3.1,1.9,3.1,4.9,3,
10,1997,4,1,27,31,16,4,4,2,8,3,3.6,14,3.8,1.9,3,4.8,2.9,
11,1997,2,3,29,26,17,5,4,3,8,3,3.8,13,3.7,1.8,3.1,4.9,3.1,
12,1997,3,3,26,24,17,5,8,1,9,4,3.9,14,3.8,1.8,3.1,5.1,3.3,
1,1998,2,6,27,25,17,4,5,1,8,5,3.4,10,3.1,1.5,2.9,4.8,3.3,
2,1998,3,4,28,28,11,5,4,0,14,3,3.2,8,2.8,1.5,2.9,4.4,2.9,
3,1998,3,4,30,28,9,5,4,1,13,3,3.3,9,3,1.5,2.8,4.3,2.8,
4,1998,2,4,33,22,13,3,5,0,14,4,3.2,7,2.6,1.5,2.7,4.6,3.1,
5,1998,2,2,31,26,14,3,4,1,14,3,3.3,8,2.8,1.5,2.8,4.6,3.1,
6,1998,3,4,29,26,16,3,5,0,12,2,3.3,7,2.7,1.5,2.9,4.8,3.3,
7,1998,1,3,34,27,11,5,3,0,13,3,3.1,5,2.3,1.5,2.7,4.2,2.7,
8,1998,3,3,32,25,12,3,3,1,14,4,3,7,2.6,1.4,2.7,4.3,2.9,
9,1998,2,3,28,29,13,4,4,1,13,3,3.4,8,2.8,1.8,2.9,4.6,2.8,
10,1998,2,2,30,31,12,3,4,1,12,3,3.2,7,2.6,1.6,2.8,4.2,2.5,
11,1998,3,2,32,31,8,5,4,1,11,3,3.1,8,2.8,1.4,2.8,4,2.6,
12,1998,4,1,31,29,16,3,4,0,8,4,3.2,7,2.6,1.4,2.9,4.6,3.2,
1,1999,3,2,28,27,15,4,5,1,11,4,3.5,8,2.9,1.8,3,4.7,2.9,
2,1999,2,2,33,24,16,4,6,0,10,3,3.3,8,2.8,1.5,2.8,4.8,3.3,
3,1999,5,3,32,25,14,1,5,1,11,3,3,10,3.1,1.3,2.7,4.5,3.2,
4,1999,1,2,31,35,12,2,3,0,10,4,3,5,2.2,1.7,2.8,4,2.3,
5,1999,3,3,29,30,13,3,7,1,9,2,3.5,9,3,1.7,2.9,4.6,2.9,
6,1999,2,2,34,27,12,4,8,0,8,3,3.3,10,3.1,1.4,2.8,4.7,3.3,
7,1999,4,1,29,31,14,3,5,0,10,3,3.3,9,2.9,1.7,2.9,4.5,2.8,
8,1999,2,4,31,31,10,3,6,1,10,2,3.3,9,3,1.5,2.8,4.2,2.7,
9,1999,2,1,31,29,15,2,7,1,9,3,3.5,9,2.9,1.6,2.9,4.7,3.1,
10,1999,2,3,32,27,14,2,5,0,12,3,3.2,7,2.6,1.5,2.8,4.4,3,
11,1999,2,2,29,27,16,4,6,0,11,3,3.5,7,2.7,1.8,2.9,4.8,3,
12,1999,4,1,30,31,13,4,4,0,10,3,3.2,7,2.7,1.6,2.9,4.5,2.8,
1,2000,3,2,26,31,16,1,6,1,12,2,3.5,7,2.7,1.9,3,4.7,2.8,
2,2000,2,2,31,29,15,2,5,0,11,3,3.3,7,2.6,1.6,2.9,4.6,2.9,
3,2000,2,3,25,27,15,4,8,2,10,4,3.8,11,3.3,1.8,3.1,5,3.2,
4,2000,2,3,30,27,13,4,2,2,15,2,3.2,8,2.8,1.4,2.8,4.5,3,
5,2000,2,2,29,33,12,4,5,1,9,3,3.4,7,2.7,1.8,2.9,4.5,2.7,
6,2000,4,2,30,29,13,2,6,1,11,2,3.3,11,3.3,1.5,2.8,4.6,3,
7,2000,4,3,32,29,12,4,5,1,9,1,3.2,9,3,1.6,2.8,4.5,2.9,
8,2000,3,4,31,27,14,4,6,1,8,2,3.5,11,3.3,1.6,2.9,4.7,3.1,
9,2000,2,4,26,29,15,4,5,1,11,3,3.6,9,3,1.9,3,4.8,2.9,
10,2000,2,2,29,27,15,4,7,1,9,4,3.7,11,3.2,1.8,3,4.9,3.1,
11,2000,2,2,31,29,11,4,6,2,11,2,3.6,12,3.5,1.6,2.9,4.6,3,
12,2000,2,3,28,29,14,4,6,2,9,3,3.7,12,3.4,1.8,3,4.8,3,
1,2001,2,3,28,26,16,2,5,1,13,4,3.5,9,3,1.8,2.9,4.7,2.9,
2,2001,2,3,26,26,15,4,6,1,12,5,3.6,9,3,1.9,3,4.8,3,
3,2001,2,4,26,28,16,5,5,2,9,3,3.6,11,3.2,1.8,3,4.8,3.1,
4,2001,3,2,26,30,17,3,6,1,9,3,3.6,9,3,1.9,3.1,4.8,2.9,
5,2001,3,2,23,32,14,3,6,1,12,4,3.6,9,3,1.9,3,4.7,2.9,
6,2001,1,5,26,31,14,4,6,1,9,3,3.6,9,3.1,1.9,3,4.7,2.8,
7,2001,3,3,26,30,12,4,3,2,15,2,3.4,11,3.3,1.6,2.9,4.5,3,
8,2001,4,2,26,28,15,4,4,2,11,4,3.6,12,3.4,1.7,3,4.8,3.1,
9,2001,3,6,27,26,13,3,5,1,11,5,3.4,11,3.3,1.5,2.9,4.7,3.2,
10,2001,4,8,27,27,12,1,4,0,13,4,2.8,7,2.7,1.4,2.7,3.9,2.6,
11,2001,3,7,26,27,12,3,4,1,14,3,3.2,9,2.9,1.6,2.8,4.5,2.8,
12,2001,3,4,24,25,16,3,6,1,11,7,3.4,10,3.2,1.7,3,4.8,3.2,
1,2002,2,5,30,27,9,2,3,0,15,7,3,6,2.4,1.6,2.7,3.6,2,
2,2002,3,4,29,28,10,4,4,0,13,5,3.1,7,2.7,1.4,2.8,4.3,2.9,
3,2002,3,3,30,23,13,4,5,1,13,5,3.3,9,3,1.6,2.8,4.7,3.1,
4,2002,2,4,27,30,14,2,2,1,14,4,3.2,8,2.9,1.6,2.8,4.3,2.7,
5,2002,2,2,25,32,13,4,5,1,12,4,3.6,8,2.8,2,3,4.7,2.7,
6,2002,2,2,28,27,13,3,6,1,14,4,3.3,9,2.9,1.6,2.8,4.6,3,
7,2002,4,2,29,27,12,3,5,1,14,3,3.2,8,2.8,1.7,2.8,4.5,2.9,
8,2002,3,2,27,28,11,5,5,1,15,3,3.5,10,3.1,1.7,2.9,4.7,3,
9,2002,3,5,34,25,11,2,5,1,11,3,3,8,2.9,1.4,2.5,3.9,2.6,
10,2002,4,4,28,25,12,3,6,0,15,3,3.3,8,2.8,1.6,2.8,4.6,3,
11,2002,2,5,28,27,12,3,5,1,14,3,3.3,8,2.8,1.7,2.8,4.5,2.9,
12,2002,4,4,28,26,12,4,5,0,14,3,3.2,9,2.9,1.4,2.8,4.6,3.2,
1,2003,4,4,29,30,9,3,5,0,13,3,3.1,7,2.7,1.6,2.7,3.8,2.2,
2,2003,4,3,31,26,12,3,4,1,13,3,3.1,9,2.9,1.5,2.7,4.4,2.9,
3,2003,7,4,26,27,13,4,3,1,13,2,2.9,9,3,1.5,2.8,4.5,3,
4,2003,6,4,29,27,12,2,6,1,10,3,3.1,11,3.3,1.4,2.7,4.4,3,
5,2003,4,5,30,24,16,3,4,1,11,2,3.1,8,2.9,1.4,2.8,4.6,3.2,
6,2003,4,4,32,24,12,4,5,0,12,3,3,9,2.9,1.3,2.7,4.6,3.3,
7,2003,3,4,33,24,14,2,5,1,11,3,3.2,9,3,1.4,2.7,4.5,3.1,
8,2003,6,4,31,24,11,4,4,1,12,3,3,9,3.1,1.4,2.7,4.5,3.1,
9,2003,4,4,32,25,13,3,4,1,11,3,3,9,2.9,1.4,2.7,4.5,3.1,
10,2003,4,4,30,27,10,3,5,1,13,3,3.1,8,2.9,1.4,2.8,4.3,2.9,
11,2003,2,3,34,28,14,3,3,0,11,2,3.1,6,2.4,1.5,2.7,4.2,2.7,
12,2003,3,4,32,29,13,2,5,1,9,2,3.1,9,3,1.4,2.8,4.3,2.9,
1,2004,2,4,31,28,12,2,6,1,12,2,3.4,8,2.8,1.6,2.8,4.5,2.9,
2,2004,4,2,29,29,12,3,6,1,12,2,3.3,9,3,1.6,2.9,4.6,3,
3,2004,4,3,27,25,16,4,4,1,14,2,3.4,8,2.8,1.7,2.9,4.8,3.1,
4,2004,3,3,32,26,13,2,5,1,12,3,3.2,8,2.9,1.6,2.7,4.5,2.9,
5,2004,2,3,30,30,11,3,5,1,13,2,3.3,8,2.8,1.6,2.8,4.4,2.8,
6,2004,2,3,28,31,12,4,6,1,11,2,3.4,7,2.7,1.8,2.9,4.6,2.8,
7,2004,4,2,29,32,11,3,5,0,12,2,3.1,7,2.7,1.5,2.8,3.9,2.3,
8,2004,3,2,34,29,10,3,5,1,11,2,3.1,9,3.1,1.5,2.7,4.2,2.6,
9,2004,4,3,30,30,11,3,4,1,12,2,3.1,8,2.9,1.5,2.8,4.1,2.6,
10,2004,2,4,29,29,13,4,3,1,12,3,3.2,7,2.6,1.6,2.8,4.5,2.9,
11,2004,3,4,32,32,9,2,6,1,10,1,3.1,9,3,1.4,2.7,3.8,2.4,
12,2004,2,3,31,31,13,3,4,1,10,2,3.1,7,2.6,1.6,2.8,4.2,2.7,
1,2005,4,1,35,24,14,5,4,1,10,2,3.2,8,2.8,1.4,2.7,4.6,3.2,
2,2005,3,3,31,29,13,3,5,0,12,1,3.1,8,2.8,1.6,2.8,4.4,2.8,
3,2005,3,3,30,27,16,4,4,1,12,0,3.3,7,2.7,1.6,2.9,4.7,3.1,
4,2005,3,2,26,33,15,4,5,0,10,2,3.4,7,2.6,1.8,3,4.7,2.9,
